Target_f,Bits_R,Hashes_k,Theoretical_f,Empirical_f,Memory_bytes
0.01,131072,9,0.00184141,0.002,16441
0.001,262144,18,3.3908e-06,0,32825
0.0001,262144,18,3.3908e-06,0,32825
